event_id,date,time_utc,datetime_utc,lat,lon,depth,moment_tensor_depth,strike1,dip1,rake1,strike2,dip2,rake2,n_fault_planes,ma,md,ml,mw,scalar_moment,mt_exponent,mt_mrr,mt_mtt,mt_mpp,mt_mrt,mt_mrp,mt_mtp,mt_1,mt_2,mt_3,mt_4,mt_5,mt_6,optimum_strike,optimum_dip,optimum_rake,instability,instability_max
21188442,2001-08-10,20:19:27.060000,2001-08-10T20:19:27.060000Z,39.8100,-120.6200,5.0100,24.0000,236.0000,86.0000,-11.0000,327.0000,79.0000,-176.0000,2,5.5400,4.7800,5.5000,5.2000,669923000000000039059456.0000,23,0.4467,-6.2627,5.8160,1.5269,0.2148,2.4962,0.4467,-6.2627,5.8160,1.5269,0.2148,2.4962,327.0000,79.0000,-176.0000,0.9208,0.9208
21191274,2001-08-26,05:03:02.450000,2001-08-26T05:03:02.450000Z,36.8100,-121.5300,6.1700,5.0000,314.0000,85.0000,169.0000,45.0000,79.0000,6.0000,2,3.9100,3.9600,3.9100,4.0000,11544200000000000786432.0000,22,0.1788,-1.2226,1.0438,-0.0888,0.1793,-0.0305,0.1788,-1.2226,1.0438,-0.0888,0.1793,-0.0305,45.0000,79.0000,6.0000,0.8453,0.8453
21205837,2001-12-07,14:29:08.480000,2001-12-07T14:29:08.480000Z,39.0400,-123.1200,6.2500,8.0000,57.0000,85.0000,11.0000,326.0000,79.0000,175.0000,2,4.2300,3.9900,4.0700,4.2000,29605700000000000393216.0000,22,0.1434,-2.7322,2.5889,0.3514,0.4793,1.1491,0.1434,-2.7322,2.5889,0.3514,0.4793,1.1491,326.0000,79.0000,175.0000,0.9125,0.9125
21205975,2001-12-14,09:41:05.860000,2001-12-14T09:41:05.860000Z,39.0500,-123.1200,6.0100,11.0000,233.0000,90.0000,-10.0000,323.0000,80.0000,-180.0000,2,4.2200,4.0500,4.0200,4.3000,38649400000000001310720.0000,22,-0.4233,-3.4380,3.8613,0.4996,0.4888,1.0663,-0.4233,-3.4380,3.8613,0.4996,0.4888,1.0663,323.0000,80.0000,-180.0000,0.8862,0.8862
21207275,2001-12-28,21:14:01.950000,2001-12-28T21:14:01.950000Z,36.6400,-121.2500,6.5700,5.0000,230.0000,85.0000,-6.0000,321.0000,84.0000,-175.0000,2,4.7300,4.5500,4.6700,4.6000,99761700000000001441792.0000,22,1.0481,-10.2040,9.1562,1.5732,-0.0564,1.9244,1.0481,-10.2040,9.1562,1.5732,-0.0564,1.9244,321.0000,84.0000,-175.0000,0.8704,0.8704
21221952,2002-04-18,11:35:40.700000,2002-04-18T11:35:40.700000Z,38.7900,-122.7700,2.2600,3.5000,344.0000,84.0000,-149.0000,250.0000,59.0000,-8.0000,2,3.5900,3.5200,3.5400,3.9800,11710000000000000524288.0000,22,-0.1275,-0.5101,0.6376,0.2788,-0.5379,0.8144,-0.1275,-0.5101,0.6376,0.2788,-0.5379,0.8144,344.0000,84.0000,211.0000,0.9777,0.9777
21222598,2002-04-23,11:59:20.720000,2002-04-23T11:59:20.720000Z,36.8700,-121.6100,8.5500,8.0000,325.0000,85.0000,168.0000,56.0000,78.0000,5.0000,2,3.6700,3.5800,3.6300,3.6000,3532280000000000262144.0000,21,0.2689,-3.3325,3.0636,-0.1923,0.7315,1.2807,0.2689,-3.3325,3.0636,-0.1923,0.7315,1.2807,325.0000,85.0000,168.0000,0.9151,0.9151
21223167,2002-04-26,11:01:26.260000,2002-04-26T11:01:26.260000Z,39.0400,-123.1200,4.8100,8.0000,317.0000,80.0000,168.0000,49.0000,78.0000,10.0000,2,3.6000,3.5900,3.5100,3.8000,5577060000000000393216.0000,21,-0.1384,-5.2394,5.3777,-0.0094,1.6761,0.6086,-0.1384,-5.2394,5.3777,-0.0094,1.6761,0.6086,317.0000,80.0000,168.0000,0.8143,0.8143
21223451,2002-04-29,00:43:29.770000,2002-04-29T00:43:29.770000Z,40.6000,-124.4500,28.7000,27.0000,255.0000,89.0000,18.0000,165.0000,72.0000,179.0000,2,4.2900,4.3500,4.3600,4.6000,97866799999999996329984.0000,22,-0.1265,-4.5399,4.6664,-2.9388,-0.9865,8.0627,-0.1265,-4.5399,4.6664,-2.9388,-0.9865,8.0627,165.0000,72.0000,179.0000,0.9828,0.9828
21224294,2002-05-04,12:17:01.050000,2002-05-04T12:17:01.050000Z,40.3100,-124.5000,7.2800,5.0000,166.0000,73.0000,50.0000,57.0000,43.0000,155.0000,2,3.9700,3.8400,,3.9000,9694518999999999639552.0000,21,4.1064,2.8476,-6.9540,2.8575,-5.5393,-4.3241,4.1064,2.8476,-6.9540,2.8575,-5.5393,-4.3241,166.0000,73.0000,50.0000,0.9803,0.9803
21224295,2002-05-04,12:54:24.700000,2002-05-04T12:54:24.700000Z,40.3100,-124.4900,7.2200,8.0000,255.0000,86.0000,159.0000,347.0000,69.0000,4.0000,2,3.8000,3.6900,3.6500,3.8000,5682560000000000000000.0000,21,1.8427,1.4664,-3.3092,-1.6136,-1.1078,-4.8116,1.8427,1.4664,-3.3092,-1.6136,-1.1078,-4.8116,347.0000,69.0000,4.0000,0.9219,0.9219
21224315,2002-05-04,13:56:32.990000,2002-05-04T13:56:32.990000Z,40.3100,-124.5400,6.0700,5.0000,353.0000,84.0000,-8.0000,84.0000,82.0000,-174.0000,2,4.2900,4.2100,4.2600,4.4000,45762200000000002359296.0000,22,-0.2070,1.1106,-0.9036,-0.4048,-0.6886,-4.3887,-0.2070,1.1106,-0.9036,-0.4048,-0.6886,-4.3887,353.0000,84.0000,352.0000,0.9267,0.9267
21224932,2002-05-08,14:59:36.110000,2002-05-08T14:59:36.110000Z,38.2200,-121.8400,17.4300,14.0000,97.0000,69.0000,32.0000,354.0000,60.0000,155.0000,2,3.6700,3.8600,3.6800,3.6000,3242659999999999868928.0000,21,1.0642,-0.4496,-0.6145,1.4931,0.9633,2.5580,1.0642,-0.4496,-0.6145,1.4931,0.9633,2.5580,354.0000,60.0000,155.0000,0.8631,0.8631
21225043,2002-05-09,11:07:55.860000,2002-05-09T11:07:55.860000Z,38.8000,-122.7300,2.6700,3.5000,336.0000,68.0000,-150.0000,233.0000,62.0000,-25.0000,2,3.5500,3.5100,3.5800,3.7800,5823000000000000262144.0000,21,-2.6785,-3.2072,5.8857,1.5522,-1.0667,2.4151,-2.6785,-3.2072,5.8857,1.5522,-1.0667,2.4151,336.0000,68.0000,210.0000,0.9265,0.9265
21254601,2002-05-14,05:00:29.500000,2002-05-14T05:00:29.500000Z,36.9700,-121.6000,6.7900,8.0000,32.0000,83.0000,10.0000,301.0000,80.0000,173.0000,2,,4.6500,4.9400,4.9000,299957000000000004980736.0000,23,0.1967,-2.7268,2.5301,0.0116,0.6061,-1.3027,0.1967,-2.7268,2.5301,0.0116,0.6061,-1.3027,32.0000,83.0000,10.0000,0.9711,0.9711
